,name,display_name
108,fheteroclitus_gene_ensembl,Mummichog genes (Fundulus_heteroclitus-3.0.2)
109,apercula_gene_ensembl,Orange clownfish genes (Nemo_v1)
110,ppardus_gene_ensembl,Leopard genes (PanPar1.0)
111,mmusculus_gene_ensembl,Mouse genes (GRCm39)
112,cintestinalis_gene_ensembl,C.intestinalis genes (KH)
113,bgrunniens_gene_ensembl,Domestic yak genes (LU_Bosgru_v3.0)
114,ojavanicus_gene_ensembl,Javanese ricefish genes (OJAV_1.1)
115,okisutch_gene_ensembl,Coho salmon genes (Okis_V2)
116,ptroglodytes_gene_ensembl,Chimpanzee genes (Pan_tro_3.0)
117,pcapensis_gene_ensembl,Hyrax genes (proCap1)
118,mspretus_gene_ensembl,Algerian mouse genes (SPRET_EiJ_v1)
119,ttruncatus_gene_ensembl,Dolphin genes (turTru1)
120,choffmanni_gene_ensembl,Sloth genes (choHof1)
121,ssbamei_gene_ensembl,Pig - Bamei genes (Bamei_pig_v1)
122,rferrumequinum_gene_ensembl,Greater horseshoe bat genes (mRhiFer1_v1.p)
123,ssjinhua_gene_ensembl,Pig - Jinhua genes (Jinhua_pig_v1)
124,amelanoleuca_gene_ensembl,Giant panda genes (ASM200744v2)
125,uparryii_gene_ensembl,Arctic ground squirrel genes (ASM342692v1)
126,cwagneri_gene_ensembl,Chacoan peccary genes (CatWag_v2_BIUU_UCD)
127,llaticaudata_gene_ensembl,Blue-ringed sea krait genes (latLat_1.0)
128,etelfairi_gene_ensembl,Lesser hedgehog tenrec genes (TENREC)
129,rroxellana_gene_ensembl,Golden snub-nosed monkey genes (Rrox_v1)
130,lleishanense_gene_ensembl,Leishan spiny toad genes (ASM966780v1)
131,cldingo_gene_ensembl,Dingo genes (ASM325472v1)
132,mmonoceros_gene_ensembl,Narwhal genes (NGI_Narwhal_1)
133,pmajor_gene_ensembl,Great Tit genes (Parus_major1.1)
134,ogarnettii_gene_ensembl,Bushbaby genes (OtoGar3)
135,pcatodon_gene_ensembl,Sperm whale genes (ASM283717v2)
136,lcrocea_gene_ensembl,Large yellow croaker genes (L_crocea_2.0)
137,hsapiens_gene_ensembl,Human genes (GRCh38.p13)
138,pmbairdii_gene_ensembl,Northern American deer mouse genes (HU_Pman_2.1)
139,acarolinensis_gene_ensembl,Green anole genes (AnoCar2.0v2)
140,acitrinellus_gene_ensembl,Midas cichlid genes (Midas_v5)
141,cgchok1gshd_gene_ensembl,Chinese hamster CHOK1GS genes (CHOK1GS_HDv1)
142,neugenii_gene_ensembl,Wallaby genes (Meug_1.0)
143,pvampyrus_gene_ensembl,Megabat genes (pteVam1)
144,mnemestrina_gene_ensembl,Pig-tailed macaque genes (Mnem_1.0)
145,sharrisii_gene_ensembl,Tasmanian devil genes (mSarHar1.11)
146,odegus_gene_ensembl,Degu genes (OctDeg1.0)
147,applatyrhynchos_gene_ensembl,Duck genes (CAU_duck1.0)
148,nbrichardi_gene_ensembl,Lyretail cichlid genes (NeoBri1.0)
149,vvulpes_gene_ensembl,Red fox genes (VulVul2.2)
150,tguttata_gene_ensembl,Zebra finch genes (bTaeGut1_v1.p)
151,bmutus_gene_ensembl,Wild yak genes (BosGru_v2.0)
152,psinensis_gene_ensembl,Chinese softshell turtle genes (PelSin_1.0)
153,ecalabaricus_gene_ensembl,Reedfish genes (fErpCal1.1)
154,pnyererei_gene_ensembl,Makobe Island cichlid genes (PunNye1.0)
155,csabaeus_gene_ensembl,Vervet-AGM genes (ChlSab1.1)
156,nleucogenys_gene_ensembl,Gibbon genes (Nleu_3.0)
157,loculatus_gene_ensembl,Spotted gar genes (LepOcu1)
158,falbicollis_gene_ensembl,Collared flycatcher genes (FicAlb1.5)
159,sslandrace_gene_ensembl,Pig - Landrace genes (Landrace_pig_v1)
160,jjaculus_gene_ensembl,Lesser Egyptian jerboa genes (JacJac1.0)
161,dlabrax_gene_ensembl,European seabass genes (seabass_V1.0)
162,oprinceps_gene_ensembl,Pika genes (OchPri2.0-Ens)
163,acalliptera_gene_ensembl,Eastern happy genes (fAstCal1.2)
164,tctriunguis_gene_ensembl,Three-toed box turtle genes (T_m_triunguis-2.0)
165,panubis_gene_ensembl,Olive baboon genes (Panubis1.0)
166,sformosus_gene_ensembl,Asian bonytongue genes (fSclFor1.1)
167,tbelangeri_gene_ensembl,Tree Shrew genes (tupBel1)
168,smerianae_gene_ensembl,Argentine black and white tegu genes (HLtupMer3)
169,clumpus_gene_ensembl,Lumpfish genes (fCycLum1.pri)
170,pabelii_gene_ensembl,Sumatran orangutan genes (Susie_PABv2)
171,uamericanus_gene_ensembl,American black bear genes (ASM334442v1)
172,hhucho_gene_ensembl,Huchen genes (ASM331708v1)
173,scaustralis_gene_ensembl,African ostrich genes (ASM69896v1)
174,mmmarmota_gene_ensembl,Alpine marmot genes (marMar2.1)
175,sgrahami_gene_ensembl,Golden-line barbel genes (SAMN03320097.WGS_v1.1)
176,pnattereri_gene_ensembl,Red-bellied piranha genes (Pygocentrus_nattereri-1.0.2)
177,dleucas_gene_ensembl,Beluga whale genes (ASM228892v3)
178,anancymaae_gene_ensembl,Ma's night monkey genes (Anan_2.0)
179,mpfuro_gene_ensembl,Ferret genes (MusPutFur1.0)
180,lcalcarifer_gene_ensembl,Barramundi perch genes (ASB_HGAPassembly_v1)
181,cmilii_gene_ensembl,Elephant shark genes (Callorhinchus_milii-6.1.3)
182,pmarinus_gene_ensembl,Lamprey genes (Pmarinus_7.0)
183,sstibetan_gene_ensembl,Pig - Tibetan genes (Tibetan_Pig_v2)
184,ngalili_gene_ensembl,Upper Galilee mountains blind mole rat genes (S.galili_v1.0)
185,mmulatta_gene_ensembl,Macaque genes (Mmul_10)
